"Specific conductance, water, unfiltered, microsiemens per centimeter at 25&#176;C(uS/cm @25C)","Streamflow, ft&#179;/s(ft3/s)","Temperature, water, &#176;C(deg C)","Wind direction, degrees clockwise from north(Deg)","Wind speed, mph(mph)"
,,28.5,,
38600.0,,30.8,,
16900.0,,31.0,,
5400.0,,30.4,,
,,28.6,,
,,28.7,,
39100.0,,30.8,,
5430.0,,30.3,,
,,28.7,,
,,28.7,,
39500.0,,31.0,,
17000.0,,31.1,,
5430.0,,30.4,,
,,28.8,,
,,29.0,,
39900.0,,31.2,,
5430.0,,30.4,,
,,29.2,,
,,29.4,,
39900.0,,31.2,,
17000.0,,31.5,,
5440.0,,30.3,,
,,29.5,,
,,29.6,,
39900.0,,31.6,,
5450.0,,30.4,,
,,29.7,,
,,29.9,,
40400.0,,31.1,,
17000.0,,31.8,,
5450.0,,30.3,,
,,30.1,,
,,30.2,,
40400.0,,31.0,,
5450.0,,30.3,,
,,30.3,,
,,30.4,,
40400.0,,31.2,,
16900.0,,31.7,,
5460.0,,30.2,,
,,30.5,,
,,30.6,,
40300.0,,31.4,,
5460.0,,30.2,,
,,30.8,,
,,30.8,,
40200.0,,31.0,,
16900.0,,31.7,,
5480.0,,30.2,,
,,30.9,,
,,30.9,,
39200.0,,31.6,,
5590.0,,30.4,,
,,31.0,,
,,31.0,,
39400.0,,31.1,,
17000.0,,31.9,,
5610.0,,30.6,,
,,30.9,,
,,30.8,,
38500.0,,31.5,,
5620.0,,30.9,,
,,30.8,,
,,30.6,,
38400.0,,31.4,,
17200.0,,31.8,,
5720.0,,31.0,,
,,30.6,,
,,30.5,,
38200.0,,31.3,,
5760.0,,31.0,,
,,30.5,,
,,30.4,,
36500.0,,31.9,,
17000.0,,31.5,,
5720.0,,31.1,,
,,30.3,,
,,30.3,,
33000.0,,32.0,,
5560.0,,31.1,,
,,30.2,,
,,30.2,,
33000.0,,31.7,,
16900.0,,31.5,,
5550.0,,30.9,,
,,30.2,,
,,30.1,,
32100.0,,31.5,,
5560.0,,30.9,,
,,30.0,,
,,30.0,,
33800.0,,31.4,,
16800.0,,31.6,,
5560.0,,30.8,,
,,30.0,,
,,29.9,,
34100.0,,31.4,,
5560.0,,30.7,,
,,29.9,,
,,29.8,,
32800.0,,31.4,,
16800.0,,31.4,,
5550.0,,30.5,,
,,29.8,,
,,29.7,,
32000.0,,31.4,,
5560.0,,30.5,,
,,29.6,,
,,29.6,,
31100.0,,31.4,,
16700.0,,31.4,,
5570.0,,30.6,,
,,29.5,,
,,29.5,,
30900.0,,31.5,,
5590.0,,30.6,,
,,29.4,,
,,29.4,,
30800.0,,31.5,,
16700.0,,31.3,,
5600.0,,30.5,,
,,29.4,,
,,29.3,,
30600.0,,31.5,,
5620.0,,30.6,,
,,29.3,,
,,29.2,,
30700.0,,31.5,,
16700.0,,31.2,,
5680.0,,30.5,,
,,29.2,,
,,29.2,,
30300.0,,31.4,,
5690.0,,30.5,,
,,29.1,,
,,29.1,,
31900.0,,31.4,,
16600.0,,31.1,,
5750.0,,30.5,,
,,29.0,,
,,29.0,,
32400.0,,31.4,,
5790.0,,30.6,,
,,29.0,,
,,28.9,,
36300.0,,31.5,,
16700.0,,30.9,,
5940.0,,30.7,,
,,28.9,,
,,28.8,,
36300.0,,31.5,,
5980.0,,30.8,,
,,28.8,,
,,28.8,,
36200.0,,31.5,,
16700.0,,30.7,,
5950.0,,30.7,,
,,28.7,,
,,28.7,,
36800.0,,31.5,,
5910.0,,30.7,,
,,28.7,,
,,28.6,,
37100.0,,31.5,,
16700.0,,30.8,,
5880.0,,30.4,,
,,28.6,,
,,28.6,,
37000.0,,31.4,,
5860.0,,30.4,,
,,28.6,,
,,28.5,,
36800.0,,31.3,,
16700.0,,30.7,,
5780.0,,30.4,,
,,28.5,,
,,28.5,,
37300.0,,31.2,,
5750.0,,30.4,,
,,28.4,,
,,28.4,,
37100.0,,31.1,,
16800.0,,30.6,,
5660.0,,30.3,,
,,28.4,,
,,28.4,,
36800.0,,31.1,,
5310.0,,30.2,,
,,28.4,,
,,28.4,,
37300.0,,31.0,,
16900.0,,30.5,,
5530.0,,30.2,,
,,28.4,,
,,28.5,,
36400.0,,30.9,,
5340.0,,30.2,,
,,28.5,,
,,28.6,,
35700.0,,30.9,,
17200.0,,30.6,,
5340.0,,30.2,,
,,28.6,,
,,28.7,,
35500.0,,30.7,,
5210.0,,30.3,,
,,28.8,,
,,28.9,,
36400.0,,30.8,,
17400.0,,30.7,,
5170.0,,30.5,,
,,29.0,,
,,29.0,,
35900.0,,30.8,,
5150.0,,30.7,,
,,29.2,,
,,29.3,,
36600.0,,30.8,,
17400.0,,30.9,,
5270.0,,30.6,,
,,29.4,,
,,29.5,,
36100.0,,31.0,,
5280.0,,30.7,,
,,29.7,,
,,29.8,,
37600.0,,31.0,,
17300.0,,31.1,,
5330.0,,30.5,,
,,29.9,,
,,30.1,,
37100.0,,31.1,,
5400.0,,30.4,,
,,30.2,,
,,30.3,,
38300.0,,31.2,,
17300.0,,31.1,,
5410.0,,30.5,,
,,30.3,,
,,30.5,,
38000.0,,31.2,,
5490.0,,30.5,,
,,30.7,,
,,30.8,,
37000.0,,31.2,,
17400.0,,31.7,,
5480.0,,30.7,,
,,30.8,,
,,30.8,,
38600.0,,31.3,,
5510.0,,30.7,,
,,31.0,,
,,31.3,,
39200.0,,31.4,,
,,32.2,,
5520.0,,30.9,,
,,31.4,,
,,31.4,,
39000.0,,31.4,,
5530.0,,30.8,,
,,31.3,,
,,31.2,,
38700.0,,31.4,,
17400.0,,33.1,,
5370.0,,31.6,,
,,31.0,,
,,30.7,,
38500.0,,31.4,,
5350.0,,31.7,,
,,30.3,,
,,30.5,,
38100.0,,31.6,,
17500.0,,33.0,,
5530.0,,31.1,,
,,30.5,,
,,30.5,,
37600.0,,32.4,,
5520.0,,31.0,,
,,30.6,,
,,30.5,,
37200.0,,32.5,,
17500.0,,32.6,,
5500.0,,30.9,,
,,30.5,,
,,30.5,,
37200.0,,32.6,,
5480.0,,30.8,,
,,30.5,,
,,30.6,,
37200.0,,32.4,,
17400.0,,32.5,,
5460.0,,30.7,,
,,30.6,,
,,30.6,,
37100.0,,32.4,,
5450.0,,30.6,,
,,30.6,,
,,30.5,,
37200.0,,32.3,,
17300.0,,32.3,,
5450.0,,30.7,,
,,30.5,,
,,30.4,,
37300.0,,32.1,,
5470.0,,30.7,,
,,30.4,,
,,30.4,,
36900.0,,31.8,,
17100.0,,32.2,,
6090.0,,31.3,,
,,30.3,,
,,30.3,,
33700.0,,31.9,,
6750.0,,31.8,,
,,30.2,,
,,30.1,,
33300.0,,31.7,,
17000.0,,32.2,,
6970.0,,31.9,,
,,30.1,,
,,30.0,,
33000.0,,31.7,,
7100.0,,31.9,,
,,30.0,,
,,29.9,,
33500.0,,31.6,,
17000.0,,32.1,,
6010.0,,31.0,,
,,29.8,,
,,29.8,,
33500.0,,31.5,,
6030.0,,31.2,,
,,29.7,,
,,29.6,,
33200.0,,31.4,,
17000.0,,32.0,,
6360.0,,31.5,,
,,29.6,,
,,29.6,,
33100.0,,31.4,,
7100.0,,31.6,,
,,29.6,,
,,29.5,,
31700.0,,31.2,,
16900.0,,31.7,,
7040.0,,31.4,,
,,29.5,,
,,29.4,,
31600.0,,31.2,,
7020.0,,31.3,,
,,29.4,,
,,29.4,,
31400.0,,31.2,,
16900.0,,31.4,,
6930.0,,31.1,,
,,29.4,,
,,29.3,,
32100.0,,31.3,,
6630.0,,30.8,,
,,29.3,,
,,29.2,,
33100.0,,31.5,,
16900.0,,31.4,,
6610.0,,30.6,,
,,29.2,,
,,29.2,,
31700.0,,31.2,,
6610.0,,30.5,,
,,29.2,,
,,29.1,,
31900.0,,31.2,,
16900.0,,31.0,,
6410.0,,30.5,,
,,29.1,,
,,29.0,,
31900.0,,31.2,,
6410.0,,30.4,,
,,29.0,,
,,29.0,,
32200.0,,31.1,,
17000.0,,30.8,,
6380.0,,30.2,,
,,29.0,,
,,28.9,,
32700.0,,31.1,,
6290.0,,30.1,,
,,28.9,,
,,28.9,,
33200.0,,31.0,,
17000.0,,31.1,,
6040.0,,30.2,,
,,28.8,,
,,28.8,,
33900.0,,30.9,,
5800.0,,30.1,,
,,28.8,,
,,28.8,,
34700.0,,30.8,,
17200.0,,31.0,,
5660.0,,30.0,,
,,28.7,,
,,28.7,,
35200.0,,30.7,,
5490.0,,29.8,,
,,28.7,,
,,28.7,,
35500.0,,30.8,,
17300.0,,30.7,,
5380.0,,29.8,,
,,28.7,,
,,28.8,,
35900.0,,30.8,,
5300.0,,29.9,,
,,28.8,,
,,28.8,,
35800.0,,30.7,,
,,30.6,,
5530.0,,29.6,,
,,28.9,,
,,29.0,,
36000.0,,30.8,,
5580.0,,29.7,,
,,29.0,,
,,29.1,,
36600.0,,30.9,,
17400.0,,30.7,,
5560.0,,29.8,,
,,29.2,,
,,29.2,,
37600.0,,31.1,,
5540.0,,29.9,,
,,29.3,,
,,29.4,,
38600.0,,31.2,,
17500.0,,30.8,,
5470.0,,30.2,,
,,29.5,,
,,29.6,,
39000.0,,31.3,,
5330.0,,30.6,,
,,29.6,,
,,29.8,,
39400.0,,31.3,,
17500.0,,31.0,,
5340.0,,30.3,,
,,29.8,,
,,30.0,,
40000.0,,31.3,,
5320.0,,30.1,,
,,30.1,,
,,30.1,,
40300.0,,31.3,,
17500.0,,30.8,,
5290.0,,30.1,,
,,30.0,,
,,29.8,,
40000.0,,31.1,,
5290.0,,30.0,,
,,29.8,,
,,29.7,,
40400.0,,31.0,,
17600.0,,30.8,,
5300.0,,30.0,,
,,29.6,,
,,29.5,,
40400.0,,31.0,,
5300.0,,30.0,,
,,29.5,,
,,29.4,,
40400.0,,30.9,,
17600.0,,30.8,,
5300.0,,29.9,,
,,29.4,,
,,29.3,,
40300.0,,30.7,,
5290.0,,29.9,,
,,29.3,,
,,29.4,,
40100.0,,30.7,,
17600.0,,30.6,,
5270.0,,29.9,,
,,29.4,,
,,29.3,,
40100.0,,30.9,,
5270.0,,29.8,,
,,29.3,,
,,29.2,,
,,31.0,,
17600.0,,30.5,,
5260.0,,29.8,,
,,29.2,,
,,29.2,,
37700.0,,30.8,,
5270.0,,29.8,,
,,29.1,,
,,29.0,,
38300.0,,30.8,,
17500.0,,30.2,,
5260.0,,29.8,,
,,28.9,,
,,28.8,,
37500.0,,31.0,,
5250.0,,29.8,,
,,28.7,,
,,28.6,,
39000.0,,31.0,,
17700.0,,29.9,,
5250.0,,29.8,,
,,28.6,,
,,28.5,,
38500.0,,31.0,,
5240.0,,29.8,,
,,28.5,,
,,28.4,,
37600.0,,31.0,,
17600.0,,29.8,,
5250.0,,29.8,,
,,28.4,,
,,28.4,,
37400.0,,30.9,,
5260.0,,29.7,,
,,28.3,,
,,28.3,,
34400.0,,30.4,,
17500.0,,29.8,,
5260.0,,29.6,,
,,28.3,,
,,28.2,,
32800.0,,30.1,,
5260.0,,29.5,,
,,28.2,,
,,28.1,,
32400.0,,30.3,,
17300.0,,29.8,,
5240.0,,29.4,,
,,28.1,,
,,28.1,,
32900.0,,30.4,,
5240.0,,29.3,,
,,28.0,,
,,28.0,,
32400.0,,30.4,,
17200.0,,29.7,,
5240.0,,29.2,,
,,28.0,,
,,27.9,,
33200.0,,30.4,,
5240.0,,29.2,,
,,27.9,,
,,27.9,,
32600.0,,30.4,,
17200.0,,29.6,,
5240.0,,29.1,,
,,27.8,,
,,27.8,,
31800.0,,30.2,,
5250.0,,29.0,,
,,27.8,,
,,27.8,,
31800.0,,30.3,,
17200.0,,29.4,,
5260.0,,29.0,,
,,27.8,,
,,27.8,,
32000.0,,30.3,,
5270.0,,28.8,,
,,27.8,,
,,27.8,,
31700.0,,30.2,,
17100.0,,29.2,,
5260.0,,28.7,,
,,27.8,,
,,27.8,,
31500.0,,30.2,,
5260.0,,28.6,,
,,27.8,,
,,27.8,,
31100.0,,30.0,,
17100.0,,29.2,,
5260.0,,28.6,,
,,27.7,,
,,27.7,,
31400.0,,30.1,,
5260.0,,28.6,,
,,27.7,,
,,27.7,,
31700.0,,30.2,,
17100.0,,29.0,,
5260.0,,28.5,,
,,27.6,,
,,27.6,,
32800.0,,30.3,,
5260.0,,28.5,,
,,27.6,,
,,27.6,,
35400.0,,30.4,,
17200.0,,28.6,,
5250.0,,28.4,,
,,27.6,,
,,27.6,,
36900.0,,30.6,,
5250.0,,28.3,,
,,27.5,,
,,27.5,,
36000.0,,30.5,,
17300.0,,28.9,,
5260.0,,28.0,,
,,27.5,,
,,27.5,,
33500.0,,30.2,,
5240.0,,27.6,,
,,27.5,,
,,27.4,,
33900.0,,30.1,,
17400.0,,29.1,,
5270.0,,27.5,,
,,27.4,,
,,27.4,,
33900.0,,29.8,,
5360.0,,27.4,,
,,27.4,,
,,27.4,,
34000.0,,29.7,,
17500.0,,29.0,,
5420.0,,27.3,,
,,27.4,,
,,27.4,,
34000.0,,29.5,,
5470.0,,27.2,,
,,27.4,,
,,27.4,,
34000.0,,29.5,,
17700.0,,29.0,,
5520.0,,27.3,,
,,27.4,,
,,27.4,,
35600.0,,29.8,,
5390.0,,27.6,,
,,27.4,,
,,27.5,,
35900.0,,29.9,,
17700.0,,29.0,,
5300.0,,27.7,,
,,27.5,,
,,27.7,,
35500.0,,29.7,,
5290.0,,27.8,,
,,27.7,,
,,27.7,,
35600.0,,29.6,,
17800.0,,29.0,,
5280.0,,27.7,,
,,27.8,,
,,27.7,,
35700.0,,29.7,,
5280.0,,27.7,,
,,27.8,,
,,27.9,,
36200.0,,29.7,,
17800.0,,29.2,,
5280.0,,27.9,,
,,28.0,,
,,28.1,,
36500.0,,29.8,,
5300.0,,28.2,,
,,28.2,,
,,28.3,,
37000.0,,30.1,,
17800.0,,29.4,,
5310.0,,28.2,,
,,28.5,,
,,28.6,,
37200.0,,30.2,,
5310.0,,28.4,,
,,28.7,,
,,28.8,,
37500.0,,30.3,,
17900.0,,29.7,,
5330.0,,29.4,,
,,28.9,,
,,29.0,,
37400.0,,30.4,,
5390.0,,30.0,,
,,29.1,,
,,29.1,,
32900.0,,30.5,,
17900.0,,29.8,,
5440.0,,30.2,,
,,29.2,,
,,29.3,,
37900.0,,30.5,,
5450.0,,30.4,,
,,29.4,,
,,29.3,,
38300.0,,30.5,,
17800.0,,29.8,,
5420.0,,30.3,,
,,29.3,,
,,29.3,,
37300.0,,30.5,,
5410.0,,30.2,,
,,29.3,,
,,29.3,,
36900.0,,30.5,,
17700.0,,29.7,,
5470.0,,30.2,,
,,29.2,,
,,29.1,,
36900.0,,30.4,,
5480.0,,30.1,,
,,28.9,,
,,28.5,,
37200.0,,30.3,,
18000.0,,29.4,,
5490.0,,30.0,,
,,28.4,,
,,28.5,,
36900.0,,30.2,,
5500.0,,29.9,,
,,28.5,,
,,28.5,,
36900.0,,30.2,,
18000.0,,29.2,,
5530.0,,29.9,,
,,28.5,,
,,28.5,,
37000.0,,30.1,,
5580.0,,29.8,,
,,28.5,,
,,28.5,,
36900.0,,30.0,,
17900.0,,29.0,,
5610.0,,29.8,,
,,28.5,,
,,28.5,,
36700.0,,29.9,,
5610.0,,29.7,,
,,28.4,,
,,28.4,,
36400.0,,29.9,,
17900.0,,28.8,,
5910.0,,29.6,,
,,28.3,,
,,28.3,,
36400.0,,29.8,,
6300.0,,29.6,,
,,28.3,,
,,28.2,,
36200.0,,29.8,,
17800.0,,28.8,,
6420.0,,29.6,,
,,28.2,,
,,28.1,,
36100.0,,29.8,,
6480.0,,29.6,,
,,28.1,,
,,28.0,,
36100.0,,29.7,,
17800.0,,28.8,,
6560.0,,29.6,,
,,28.0,,
,,28.0,,
36000.0,,29.7,,
6600.0,,29.6,,
,,27.9,,
,,27.9,,
36100.0,,29.7,,
17800.0,,28.7,,
6620.0,,29.5,,
,,27.9,,
,,27.9,,
35900.0,,29.6,,
6620.0,,29.4,,
,,27.9,,
,,27.8,,
35800.0,,29.6,,
17900.0,,28.5,,
6750.0,,29.4,,
,,27.8,,
,,27.8,,
35800.0,,29.6,,
6990.0,,29.4,,
,,27.7,,
,,27.6,,
35500.0,,29.5,,
17900.0,,28.4,,
7040.0,,29.4,,
,,27.6,,
,,27.5,,
35800.0,,29.5,,
7210.0,,29.4,,
,,27.4,,
,,27.3,,
35700.0,,29.4,,
17900.0,,28.3,,
7270.0,,29.3,,
,,27.3,,
,,27.2,,
35800.0,,29.3,,
6990.0,,29.1,,
,,27.1,,
,,27.0,,
35700.0,,29.3,,
17100.0,,27.9,,
6800.0,,28.8,,
,,27.0,,
,,26.9,,
35700.0,,29.3,,
6500.0,,28.4,,
,,26.9,,
,,26.8,,
35800.0,,29.2,,
16900.0,,27.8,,
6540.0,,28.4,,
,,26.8,,
,,26.7,,
35900.0,,29.1,,
6530.0,,28.3,,
,,26.7,,
,,26.6,,
36000.0,,29.1,,
15400.0,,27.1,,
6630.0,,28.4,,
,,26.6,,
,,26.6,,
35800.0,,29.0,,
6610.0,,28.3,,
,,26.5,,
,,26.5,,
35600.0,,28.9,,
15500.0,,27.1,,
6590.0,,28.2,,
,,26.5,,
,,26.4,,
35700.0,,28.9,,
6510.0,,28.1,,
,,26.4,,
,,26.4,,
35900.0,,28.9,,
15700.0,,27.2,,
6460.0,,28.1,,
,,26.4,,
,,26.4,,
35900.0,,29.0,,
6470.0,,28.2,,
,,26.4,,
,,26.4,,
35900.0,,29.0,,
15500.0,,27.3,,
6540.0,,28.3,,
,,26.4,,
,,26.4,,
35600.0,,29.1,,
6570.0,,28.4,,
,,26.5,,
,,26.6,,
,,29.1,,
16000.0,,27.8,,
6550.0,,28.5,,
,,26.6,,
,,26.7,,
35900.0,,29.1,,
6340.0,,28.8,,
,,26.8,,
,,27.0,,
36000.0,,29.2,,
16000.0,,28.0,,
6470.0,,29.0,,
,,27.0,,
,,27.1,,
,,29.6,,
6450.0,,29.2,,
,,27.2,,
,,27.3,,
35900.0,,29.4,,
16600.0,,28.6,,
6400.0,,29.8,,
,,27.4,,
,,27.4,,
,,29.6,,
6390.0,,30.2,,
,,27.5,,
,,27.6,,
35100.0,,29.9,,
15700.0,,28.0,,
6400.0,,30.6,,
,,27.7,,
,,27.8,,
35200.0,,29.9,,
6430.0,,30.7,,
,,28.0,,
,,28.0,,
35000.0,,30.1,,
15700.0,,28.0,,
6480.0,,30.8,,
,,28.0,,
,,28.2,,
35400.0,,29.9,,
6530.0,,30.7,,
,,28.3,,
,,28.3,,
35400.0,,30.2,,
,,30.2,,
6550.0,,30.9,,
,,28.5,,
,,28.6,,
35800.0,,30.2,,
6550.0,,31.1,,
,,28.7,,
,,28.8,,
35600.0,,30.4,,
15800.0,,31.0,,
6580.0,,31.2,,
,,28.9,,
,,28.9,,
35500.0,,30.5,,
6630.0,,31.2,,
,,28.9,,
,,28.9,,
35700.0,,30.4,,
16800.0,,31.0,,
6640.0,,31.3,,
,,28.9,,
,,28.9,,
35700.0,,30.4,,
6670.0,,31.0,,
,,28.8,,
,,28.8,,
35700.0,,30.5,,
15600.0,,31.3,,
6840.0,,30.7,,
,,28.8,,
,,28.7,,
35700.0,,30.4,,
7460.0,,30.6,,
,,28.7,,
,,28.6,,
35800.0,,30.4,,
15200.0,,30.9,,
7610.0,,30.6,,
,,28.6,,
,,28.6,,
35900.0,,30.4,,
7830.0,,30.6,,
,,28.5,,
,,28.5,,
36200.0,,30.3,,
15300.0,,30.5,,
7870.0,,30.6,,
,,28.4,,
,,28.4,,
36200.0,,30.3,,
7950.0,,30.6,,
,,28.3,,
,,28.3,,
36800.0,,30.3,,
17000.0,,30.1,,
8150.0,,30.5,,
,,28.3,,
,,28.2,,
36900.0,,30.2,,
8580.0,,30.4,,
,,28.2,,
,,28.2,,
35800.0,,30.2,,
17300.0,,29.6,,
9020.0,,30.3,,
,,28.2,,
,,28.1,,
37400.0,,30.1,,
9340.0,,30.2,,
,,28.1,,
,,28.0,,
,,30.1,,
17200.0,,29.6,,
9430.0,,30.2,,
,,28.0,,
,,28.0,,
37200.0,,30.1,,
9490.0,,30.2,,
,,27.9,,
,,27.9,,
37400.0,,30.0,,
17200.0,,29.5,,
9430.0,,30.2,,
,,27.8,,
,,27.8,,
37500.0,,30.0,,
9380.0,,30.1,,
,,27.8,,
,,27.8,,
37400.0,,30.0,,
17200.0,,29.4,,
9360.0,,30.1,,
,,27.7,,
,,27.7,,
37200.0,,30.0,,
9430.0,,30.1,,
,,27.6,,
,,27.6,,
37100.0,,30.0,,
17000.0,,29.3,,
9460.0,,30.1,,
,,27.6,,
,,27.6,,
36800.0,,29.8,,
9480.0,,30.0,,
,,27.5,,
,,27.5,,
36900.0,,29.7,,
17100.0,,29.2,,
9500.0,,29.9,,
,,27.4,,
,,27.4,,
,,29.7,,
9520.0,,29.8,,
,,27.4,,
,,27.4,,
36700.0,,29.7,,
17200.0,,29.1,,
9200.0,,29.6,,
,,27.3,,
,,27.3,,
36600.0,,29.7,,
8840.0,,29.4,,
,,27.3,,
,,27.2,,
36400.0,,29.6,,
17200.0,,29.1,,
8630.0,,29.1,,
,,27.2,,
,,27.1,,
36400.0,,29.5,,
8460.0,,29.0,,
,,27.1,,
,,27.0,,
36600.0,,29.5,,
17100.0,,28.8,,
8470.0,,29.0,,
,,27.0,,
,,27.0,,
36700.0,,29.5,,
8640.0,,29.1,,
,,26.9,,
,,26.9,,
37000.0,,29.5,,
17200.0,,28.9,,
8840.0,,29.2,,
,,26.8,,
,,26.8,,
37000.0,,29.5,,
9100.0,,29.4,,
,,26.8,,
,,26.8,,
37000.0,,29.5,,
17200.0,,28.8,,
9030.0,,29.1,,
,,26.8,,
,,26.8,,
37000.0,,29.5,,
8730.0,,28.8,,
,,26.8,,
,,26.9,,
36800.0,,29.5,,
17000.0,,28.7,,
8620.0,,28.8,,
,,27.0,,
,,27.0,,
36900.0,,29.5,,
8640.0,,28.7,,
,,27.1,,
,,27.1,,
37200.0,,29.5,,
17100.0,,28.8,,
8600.0,,28.5,,
,,27.2,,
,,27.3,,
37100.0,,29.5,,
8570.0,,28.6,,
,,27.4,,
,,27.5,,
37400.0,,29.5,,
17000.0,,29.0,,
8570.0,,28.7,,
,,27.6,,
,,27.7,,
36800.0,,29.6,,
8570.0,,28.7,,
,,27.7,,
,,27.8,,
37400.0,,29.6,,
17300.0,,29.4,,
8570.0,,28.8,,
,,27.8,,
,,27.9,,
37300.0,,29.6,,
8570.0,,28.8,,
,,28.0,,
,,28.0,,
37200.0,,29.7,,
17500.0,,29.9,,
8530.0,,28.9,,
,,28.1,,
,,28.2,,
37300.0,,29.7,,
8500.0,,29.0,,
,,28.3,,
,,28.4,,
37300.0,,29.8,,
17600.0,,30.6,,
8730.0,,29.1,,
,,28.5,,
,,28.7,,
37400.0,,29.9,,
8770.0,,29.2,,
,,28.8,,
,,28.9,,
37400.0,,30.0,,
17700.0,,30.7,,
8880.0,,29.3,,
,,29.0,,
,,29.1,,
37300.0,,30.1,,
8920.0,,29.3,,
,,29.2,,
,,29.2,,
36800.0,,30.1,,
17600.0,,31.0,,
8910.0,,29.5,,
,,29.2,,
,,29.3,,
37300.0,,30.1,,
9040.0,,29.6,,
,,29.3,,
,,29.3,,
37200.0,,30.1,,
17700.0,,31.0,,
9080.0,,29.7,,
,,29.3,,
,,29.3,,
37300.0,,30.1,,
9110.0,,29.7,,
,,29.3,,
,,29.2,,
37000.0,,30.1,,
17600.0,,30.9,,
9140.0,,29.8,,
,,29.2,,
,,29.1,,
37200.0,,30.1,,
9090.0,,29.9,,
,,29.1,,
,,29.0,,
37100.0,,30.0,,
17600.0,,30.8,,
9080.0,,29.9,,
,,29.0,,
,,28.9,,
37000.0,,30.0,,
9100.0,,29.9,,
,,28.9,,
,,28.8,,
36400.0,,30.0,,
17600.0,,30.6,,
9170.0,,29.8,,
,,28.8,,
,,28.7,,
36900.0,,29.9,,
9040.0,,29.8,,
,,28.6,,
,,28.6,,
36900.0,,29.9,,
17900.0,,30.2,,
8870.0,,29.7,,
,,28.6,,
,,28.5,,
36900.0,,29.8,,
8820.0,,29.7,,
,,28.5,,
,,28.5,,
35800.0,,29.8,,
17800.0,,29.9,,
8810.0,,29.7,,
,,28.4,,
,,28.4,,
36000.0,,29.7,,
8810.0,,29.6,,
,,28.4,,
,,28.4,,
,,29.6,,
17700.0,,29.8,,
8810.0,,29.6,,
,,28.3,,
,,28.3,,
36100.0,,29.6,,
8810.0,,29.5,,
,,28.3,,
,,28.2,,
36000.0,,29.6,,
17700.0,,29.6,,
8810.0,,29.5,,
,,28.2,,
,,28.2,,
35500.0,,29.5,,
8820.0,,29.5,,
,,28.2,,
,,28.1,,
35300.0,,29.5,,
17600.0,,29.6,,
8820.0,,29.5,,
,,28.1,,
,,28.1,,
35000.0,,29.5,,
8800.0,,29.4,,
,,28.0,,
,,28.0,,
35000.0,,29.4,,
17500.0,,29.5,,
8780.0,,29.3,,
,,28.0,,
,,27.9,,
34900.0,,29.4,,
8720.0,,29.1,,
,,27.9,,
,,27.9,,
35100.0,,29.4,,
17500.0,,29.4,,
8670.0,,29.0,,
,,27.8,,
,,27.8,,
35600.0,,29.4,,
8320.0,,29.0,,
,,27.8,,
,,27.7,,
35700.0,,29.4,,
17400.0,,29.2,,
8550.0,,29.0,,
,,27.7,,
,,27.6,,
35600.0,,29.2,,
8530.0,,28.8,,
,,27.6,,
,,27.6,,
35900.0,,29.2,,
17600.0,,29.3,,
8520.0,,28.7,,
,,27.6,,
,,27.5,,
35700.0,,29.2,,
8630.0,,28.8,,
,,27.5,,
,,27.4,,
36100.0,,29.2,,
17800.0,,29.3,,
8730.0,,28.8,,
,,27.4,,
,,27.4,,
36400.0,,29.2,,
8460.0,,28.8,,
,,27.3,,
,,27.3,,
36900.0,,29.1,,
17800.0,,29.3,,
8690.0,,28.8,,
,,27.3,,
,,27.3,,
37000.0,,29.1,,
8720.0,,28.8,,
,,27.2,,
,,27.2,,
36800.0,,29.0,,
17800.0,,29.4,,
8660.0,,28.8,,
,,27.2,,
,,27.2,,
36700.0,,29.0,,
8770.0,,28.8,,
,,27.2,,
,,27.2,,
37200.0,,29.1,,
17800.0,,29.5,,
8490.0,,28.8,,
,,27.3,,
,,27.3,,
37100.0,,29.1,,
8780.0,,28.8,,
,,27.3,,
,,27.5,,
37100.0,,29.2,,
17800.0,,29.6,,
8800.0,,28.8,,
,,27.5,,
,,27.6,,
37000.0,,29.2,,
8490.0,,28.7,,
,,27.7,,
,,27.7,,
36600.0,,29.4,,
17800.0,,30.0,,
8780.0,,28.8,,
,,27.8,,
,,27.9,,
36700.0,,29.3,,
8730.0,,28.8,,
,,28.0,,
,,28.2,,
35900.0,,29.2,,
18000.0,,30.4,,
8500.0,,29.1,,
,,28.3,,
,,28.4,,
34800.0,,29.2,,
8210.0,,29.3,,
,,28.5,,
,,28.7,,
34800.0,,29.2,,
17800.0,,30.6,,
8120.0,,29.2,,
,,28.8,,
,,28.9,,
34400.0,,29.2,,
8330.0,,29.0,,
,,29.0,,
,,29.0,,
30700.0,,29.1,,
17700.0,,30.6,,
8340.0,,29.1,,
,,29.1,,
,,29.2,,
30900.0,,29.1,,
8380.0,,29.2,,
,,29.2,,
,,29.3,,
32300.0,,29.2,,
17600.0,,31.1,,
8420.0,,29.2,,
,,29.4,,
,,29.5,,
31800.0,,29.5,,
8390.0,,29.3,,
,,29.6,,
,,29.6,,
31600.0,,29.4,,
17500.0,,31.5,,
8120.0,,29.5,,
,,29.6,,
,,29.7,,
31700.0,,29.4,,
8120.0,,29.7,,
,,29.7,,
,,29.7,,
31800.0,,29.5,,
17300.0,,31.5,,
8330.0,,29.9,,
,,29.7,,
,,29.7,,
31100.0,,29.6,,
8000.0,,30.0,,
,,29.6,,
,,29.6,,
30800.0,,29.6,,
